loan_id,customer_id,branch_id,loan_type,principal,interest_rate,tenure_months,disbursed_date,due_date,status
25,6312,23,Car,140512.13,9.97,27,2020-11-04,2026-12-22,Closed
26,5161,56,Home,972854.74,9.04,58,2020-11-11,2027-07-21,Active
27,7103,5,Personal,364600.91,8.98,12,2024-01-30,2026-08-31,Default
28,11402,20,Home,656312.28,11.52,30,2021-05-26,2028-09-30,Active
29,9777,3,Home,496927.84,8.72,40,2021-02-25,2028-12-19,Active
30,6394,32,Car,875077.06,8.59,20,2022-08-04,2026-12-02,Closed
31,11982,91,Personal,870432.96,9.62,17,2025-11-05,2028-10-06,Active
32,1569,13,Car,776861.35,12.8,42,2022-09-28,2028-01-14,Default
33,4079,96,Car,177488.44,8.9,35,2023-10-17,2028-10-08,Closed
34,787,87,Personal,878869.18,11.73,56,2023-01-08,2028-10-24,Closed
35,11459,74,Home,860086.84,8.48,57,2025-02-01,2027-04-30,Default
36,499,40,Car,742832.64,10.25,54,2025-12-24,2028-09-23,Default
37,14762,44,Personal,819460.01,8.15,57,2020-11-08,2029-01-01,Default
38,1672,96,Car,118196.24,9.65,55,2022-11-24,2026-12-05,Active
39,6707,29,Home,522562.52,9.78,17,2022-11-18,2028-12-11,Default
40,5072,18,Car,776301.19,9.48,53,2025-10-14,2027-05-13,Closed
41,11867,16,Personal,96383.22,11.91,33,2024-07-07,2028-12-07,Active
42,4297,22,Home,277196.95,8.34,12,2024-08-01,2028-06-05,Default
43,10657,78,Car,98986.53,12.97,27,2022-07-20,2027-03-15,Default
44,12071,30,Home,853291.15,11.09,16,2024-05-28,2027-05-17,Closed
45,2320,18,Personal,812847.42,11.04,33,2022-07-10,2028-08-06,Default
46,5955,53,Car,847773.56,10.4,22,2022-09-27,2026-11-12,Default
47,11134,84,Car,161422.97,8.48,39,2020-12-15,2028-04-01,Active
48,2538,44,Personal,517032.99,8.89,46,2021-10-01,2028-12-11,Active
49,1321,63,Car,842156.33,12.09,37,2025-03-28,2028-06-13,Closed
50,4504,3,Home,394427.89,12.22,19,2022-05-02,2027-07-05,Closed
51,14111,16,Car,866157.3,11.53,28,2023-11-11,2028-01-22,Closed
52,7286,15,Car,905307.15,8.95,44,2022-10-26,2028-09-06,Closed
53,10394,88,Car,762743.85,8.0,29,2025-03-28,2028-09-08,Closed
54,2057,19,Car,294752.14,11.09,41,2025-02-24,2028-10-28,Default
55,2315,91,Home,273948.68,8.4,35,2021-06-01,2027-08-08,Active
56,7131,26,Personal,604444.39,9.32,56,2025-03-13,2028-08-14,Closed
57,5396,43,Personal,634573.47,10.2,34,2023-04-04,2028-12-21,Default
58,8528,13,Home,454782.28,8.44,53,2024-09-29,2027-11-21,Active
59,10552,79,Personal,856762.8,9.51,25,2021-10-20,2027-10-23,Default
60,14808,26,Home,378405.33,8.47,33,2021-07-23,2027-03-20,Default
61,7921,58,Personal,691882.27,9.42,46,2023-08-02,2026-12-30,Active
62,10501,95,Personal,692737.23,9.67,17,2024-08-16,2027-09-11,Active
63,13081,48,Car,906135.82,8.0,28,2024-05-11,2028-03-07,Closed
64,12321,62,Personal,93114.28,9.94,48,2023-10-01,2027-04-28,Active
65,13566,49,Personal,314644.72,11.17,15,2021-09-05,2026-08-22,Closed
66,5564,94,Personal,164031.84,12.93,55,2024-11-01,2028-02-12,Active
67,4727,33,Home,157577.79,12.62,24,2025-08-18,2027-06-24,Default
68,14988,60,Car,662204.62,8.23,20,2025-02-01,2028-05-27,Default
69,4786,42,Personal,969279.29,10.9,58,2025-01-06,2027-12-08,Closed
70,13081,68,Car,345939.43,10.93,31,2022-12-15,2027-04-08,Closed
71,11653,66,Personal,109391.53,8.41,29,2021-05-04,2028-10-22,Default
72,13805,82,Home,940144.28,12.95,46,2021-04-08,2028-08-06,Active
73,9088,97,Home,537170.82,8.02,51,2023-10-05,2028-08-11,Active
74,3468,40,Home,394269.32,12.15,34,2022-08-11,2027-08-22,Active
75,12060,80,Personal,657828.86,12.17,27,2024-04-09,2026-12-21,Default
76,11756,26,Car,365909.49,10.47,24,2025-09-27,2027-11-18,Default
77,6672,22,Car,380420.71,9.95,48,2025-03-03,2027-10-23,Default
78,13921,95,Car,659379.0,11.43,45,2023-07-06,2028-01-06,Default
79,10124,38,Home,469787.49,12.3,22,2025-03-27,2026-12-16,Closed
80,11759,13,Car,874526.77,9.03,44,2024-04-25,2027-12-27,Default
81,8834,57,Car,529697.26,11.59,39,2021-09-01,2027-01-13,Closed
82,8927,37,Home,337292.8,11.55,46,2023-07-25,2029-01-10,Default
83,12445,38,Car,73261.39,9.66,25,2025-06-20,2028-05-13,Active
84,14551,31,Car,703210.49,11.35,49,2025-12-27,2027-12-01,Closed
85,4738,40,Personal,827544.95,12.97,27,2025-10-15,2027-12-21,Closed
86,7741,14,Personal,687941.36,10.87,54,2022-10-18,2028-06-26,Active
87,7491,87,Home,838677.67,8.48,20,2024-03-06,2026-10-14,Default
88,175,45,Home,631554.16,8.95,23,2022-02-26,2028-08-06,Active
89,3687,91,Car,927703.52,11.83,12,2023-01-26,2027-08-22,Active
90,4878,3,Car,423993.15,8.89,50,2021-03-19,2028-07-23,Default
91,1230,40,Car,511458.05,12.2,40,2021-11-10,2028-06-01,Closed
92,1935,43,Home,144624.7,11.99,39,2020-11-10,2028-11-10,Closed
93,901,77,Car,638487.76,8.66,49,2024-10-07,2028-06-02,Active
94,13826,33,Personal,632508.91,8.07,19,2025-04-09,2026-09-06,Closed
95,5962,6,Home,469319.38,10.46,41,2025-01-17,2028-03-18,Default
96,8075,73,Personal,422005.08,9.23,52,2024-11-12,2028-10-03,Closed
97,12122,83,Home,674381.98,8.88,31,2024-06-30,2028-11-05,Default
98,14377,11,Home,922433.68,8.59,30,2022-01-19,2027-06-26,Default
99,9004,99,Home,960346.21,9.07,33,2021-12-27,2028-04-12,Active
100,14836,94,Home,723319.93,9.18,33,2023-08-23,2026-12-14,Closed
101,7189,3,Home,356662.35,12.16,21,2024-11-22,2027-01-01,Closed
102,8820,29,Home,328538.24,10.54,31,2023-05-26,2027-08-05,Default
103,9853,79,Personal,324461.06,9.26,27,2024-05-04,2028-03-06,Closed
104,6199,68,Home,731816.06,11.13,37,2023-09-28,2028-08-26,Default
105,10151,34,Car,468749.71,12.68,56,2023-09-08,2028-10-29,Default
106,13664,31,Car,679262.42,8.89,46,2023-12-02,2027-11-14,Default
107,2007,21,Personal,255697.15,11.98,15,2026-02-14,2027-01-12,Active
108,8039,41,Home,667000.86,8.33,60,2022-09-14,2027-08-27,Active
109,13912,69,Personal,695151.47,12.56,60,2021-02-22,2028-08-04,Closed
110,8321,98,Personal,135661.96,9.26,21,2023-08-22,2027-08-28,Closed
111,11894,79,Car,522647.88,9.3,43,2025-08-01,2027-06-15,Default
112,5014,53,Car,54619.29,10.23,59,2022-02-26,2027-04-15,Active
113,5688,79,Home,648628.81,10.29,33,2026-01-28,2027-06-26,Active
114,197,95,Home,340497.09,10.4,33,2021-03-04,2026-11-03,Active
115,11149,18,Car,72278.28,12.49,34,2022-11-13,2027-01-28,Active
116,10157,100,Home,369965.66,10.17,43,2022-05-14,2027-08-04,Default
117,12180,59,Home,864218.01,10.47,38,2021-09-26,2026-10-01,Active
118,7561,12,Personal,277786.1,8.42,47,2025-03-16,2027-02-12,Closed
119,6385,62,Car,482939.98,12.96,52,2025-12-06,2028-01-04,Default
120,2383,27,Car,588545.32,12.05,21,2021-09-21,2026-08-16,Active
121,1764,54,Car,740025.01,11.76,56,2021-09-05,2028-08-28,Default
122,12477,91,Car,309479.7,12.16,23,2022-02-06,2027-09-06,Default
123,10292,19,Personal,186600.72,12.37,42,2022-12-16,2026-09-15,Default
124,3450,44,Home,189455.81,12.7,39,2025-04-19,2026-10-18,Closed
125,14357,40,Car,394133.05,8.35,17,2022-10-03,2027-01-07,Active
126,9947,12,Car,58856.37,8.28,15,2025-08-02,2027-04-12,Active
127,11311,37,Personal,388424.49,9.47,27,2023-08-09,2027-12-13,Closed
128,14483,16,Car,512680.95,12.75,14,2025-01-13,2028-08-06,Default
129,1206,13,Home,445073.88,10.21,20,2024-02-10,2027-02-22,Default
130,10574,70,Car,426798.54,11.15,28,2025-03-08,2028-05-27,Closed
131,5385,74,Car,593198.27,11.33,52,2021-12-11,2028-01-03,Closed
132,390,97,Personal,282706.57,11.36,44,2024-10-22,2028-02-14,Default
133,4446,82,Home,504568.13,8.8,43,2021-06-17,2028-07-28,Active
134,9801,14,Car,117740.46,10.67,39,2025-04-02,2026-10-30,Active
135,9479,49,Car,989837.61,12.61,52,2023-04-20,2027-01-28,Closed
136,11296,45,Home,485655.33,12.9,26,2021-01-24,2028-05-27,Default
137,10493,63,Car,682494.76,9.27,53,2022-05-26,2028-01-16,Active
138,9962,36,Home,718556.36,9.77,55,2023-01-11,2027-08-08,Active
139,10115,88,Car,956190.99,9.64,21,2022-12-28,2027-03-13,Closed
140,9216,91,Home,384396.74,10.97,56,2021-07-05,2026-12-28,Default
141,2054,90,Home,351202.34,9.21,20,2022-05-13,2028-12-01,Active
142,6355,48,Personal,949433.57,11.73,16,2024-08-15,2026-09-17,Default
143,7096,21,Home,946132.74,9.86,28,2024-02-10,2026-12-13,Closed
144,10673,55,Car,265520.25,11.97,17,2025-12-28,2028-06-01,Active
145,14703,38,Home,222015.32,11.5,48,2026-04-09,2027-09-13,Active
146,1555,50,Personal,164105.28,9.18,33,2022-01-02,2028-04-07,Active
147,9599,88,Car,960292.02,11.36,32,2026-03-24,2026-09-20,Active
148,13190,54,Home,243217.9,11.36,29,2023-09-16,2027-09-23,Default
149,12330,95,Car,410267.23,10.22,42,2024-10-21,2027-01-07,Default
150,8355,31,Personal,691731.45,9.88,48,2023-09-07,2027-09-04,Closed
151,11368,95,Car,78157.35,11.81,38,2022-03-13,2028-04-04,Active
152,13752,50,Home,96602.04,11.91,35,2021-03-21,2028-12-18,Closed
153,2035,71,Personal,497662.63,12.97,21,2025-04-03,2027-09-01,Active
154,8913,91,Car,302832.22,10.9,35,2023-04-29,2027-09-22,Closed
155,11747,84,Home,494915.08,11.21,19,2022-02-01,2028-08-17,Default
156,11649,92,Home,438298.55,11.99,52,2024-02-20,2028-08-01,Active
157,14140,20,Car,719936.41,8.53,29,2023-09-11,2027-10-31,Closed
158,4075,80,Personal,109467.04,10.55,32,2022-12-20,2027-07-20,Default
159,12087,91,Home,677663.68,10.65,48,2026-01-14,2027-08-11,Active
160,10089,65,Car,178338.65,12.01,48,2022-08-05,2028-03-23,Closed
161,5575,82,Home,464849.64,12.91,52,2024-08-10,2028-01-21,Default
162,14580,52,Personal,77459.81,10.58,58,2024-06-07,2028-12-30,Active
163,3203,48,Car,773185.27,11.85,57,2022-09-10,2028-05-02,Closed
164,12726,52,Car,200166.1,10.37,22,2024-06-29,2028-07-28,Active
165,1726,6,Car,546690.33,8.49,52,2022-11-09,2027-02-25,Default
166,9091,48,Home,988326.26,12.84,12,2025-11-28,2027-03-09,Closed
167,11536,39,Personal,937222.34,8.9,26,2024-04-23,2028-12-21,Default
168,10129,64,Personal,624308.97,8.39,33,2024-06-11,2028-11-17,Closed
169,13293,82,Personal,554840.85,10.66,50,2023-03-15,2026-08-14,Closed
170,8669,36,Home,717550.25,12.42,58,2025-03-24,2028-07-27,Default
171,12475,92,Personal,354557.01,8.71,23,2021-10-30,2026-08-25,Default
172,7980,25,Personal,412920.67,8.58,57,2025-05-09,2027-07-19,Active
173,2370,61,Home,616073.05,11.07,44,2024-02-06,2027-12-17,Default
174,7702,37,Car,615077.81,8.7,60,2021-02-24,2027-06-10,Active
175,8389,73,Car,70030.92,11.55,14,2021-01-08,2026-08-23,Active
176,12346,97,Car,219291.45,12.16,54,2024-09-21,2028-09-14,Active
177,14426,85,Home,755414.26,9.04,57,2024-08-15,2027-06-09,Closed
178,6758,38,Personal,526858.32,8.74,29,2025-11-02,2027-06-27,Active
179,936,100,Personal,844192.92,8.85,44,2025-12-18,2028-11-03,Default
180,7199,94,Car,631679.5,11.3,45,2025-11-11,2026-09-16,Active
181,12833,3,Car,453681.94,8.01,43,2022-09-03,2028-11-12,Closed
182,9755,44,Home,773948.34,11.42,47,2025-06-05,2027-09-06,Active
183,7329,95,Personal,328377.18,12.99,42,2022-10-26,2026-09-03,Active
184,5084,96,Personal,431876.95,9.65,57,2022-09-07,2026-11-08,Closed
185,11250,35,Car,139531.3,8.73,42,2021-03-04,2028-02-17,Closed
186,108,23,Personal,985631.68,8.8,49,2021-08-29,2026-12-20,Active
187,9185,19,Home,171008.33,12.37,58,2021-04-29,2026-11-25,Closed
188,7418,52,Personal,224248.01,11.0,12,2025-12-22,2027-01-12,Default
189,9705,35,Car,633048.24,8.98,55,2025-07-23,2028-09-15,Default
190,2352,36,Car,691768.46,11.08,59,2022-12-30,2027-05-03,Active
191,11789,88,Home,212797.95,9.8,55,2025-10-19,2027-11-04,Active
192,1525,13,Home,335620.76,9.61,20,2022-10-12,2028-11-28,Closed
193,5609,14,Home,217290.6,10.3,19,2022-04-06,2028-05-05,Default
194,7181,81,Personal,490089.8,9.0,22,2024-08-24,2027-04-23,Default
195,10745,88,Personal,728195.37,10.68,44,2025-02-12,2027-08-29,Closed
196,3749,68,Home,960252.02,9.54,51,2023-01-16,2027-11-06,Active
197,3678,13,Personal,285327.14,12.9,42,2022-02-11,2028-08-22,Closed
198,3483,28,Home,80105.4,9.68,44,2023-06-03,2027-01-05,Default
199,4449,55,Home,582397.65,10.48,29,2026-03-10,2027-02-11,Closed
200,4551,2,Car,971583.92,11.68,40,2024-03-21,2027-10-08,Closed
201,9628,17,Car,410148.73,8.0,51,2026-04-07,2027-12-13,Closed
202,5789,38,Personal,951113.85,11.89,29,2024-08-24,2028-03-20,Default
203,6117,79,Car,606219.09,9.24,18,2024-07-20,2028-05-16,Default
204,957,7,Car,145518.41,8.03,22,2024-09-22,2027-10-02,Closed
205,4387,50,Car,574435.02,9.72,35,2024-02-06,2028-11-19,Default
206,12160,55,Personal,775920.67,12.03,25,2021-01-21,2027-01-05,Default
207,13722,73,Personal,124612.71,8.15,53,2024-07-14,2026-11-28,Active
208,11437,78,Car,181147.46,8.35,45,2024-07-17,2028-06-17,Closed
209,11368,22,Home,446330.5,11.17,55,2022-05-29,2027-10-13,Default
210,11045,76,Home,731343.17,10.17,15,2021-12-26,2027-12-20,Default
211,3956,50,Car,797907.35,8.72,60,2022-09-30,2026-08-18,Active
212,13105,77,Home,140227.97,11.08,55,2022-08-14,2027-09-30,Active
213,14041,64,Car,629405.34,11.35,21,2023-02-25,2029-01-12,Closed
214,4417,53,Home,783310.34,8.04,48,2024-02-22,2028-10-10,Default
215,9888,13,Car,206447.54,8.17,35,2022-06-23,2027-06-14,Active
216,2150,16,Car,974236.23,8.2,56,2023-05-28,2028-01-26,Closed
217,5594,50,Home,941302.88,10.2,25,2023-05-16,2028-10-05,Closed
218,5133,98,Home,239456.43,12.56,13,2024-04-06,2028-11-10,Default
219,10344,16,Car,297327.24,11.95,47,2023-04-17,2028-12-25,Active
220,14853,12,Home,110138.39,8.39,18,2022-05-02,2028-08-21,Active
221,1899,40,Personal,709320.64,11.67,40,2025-07-19,2027-05-16,Default
222,3607,50,Personal,927143.92,11.74,15,2025-07-08,2028-02-01,Active
223,6494,36,Car,533033.68,8.08,14,2025-08-25,2027-07-19,Default
224,9236,72,Car,546202.43,11.9,13,2023-06-11,2028-11-21,Active
225,8590,100,Home,134640.34,8.22,55,2024-04-25,2028-06-15,Closed
226,1144,53,Personal,512052.41,9.86,49,2025-09-29,2027-11-20,Default
227,947,94,Home,824893.06,11.7,28,2025-07-06,2026-12-16,Active
228,6117,79,Car,772026.2,8.95,44,2023-08-02,2028-05-28,Active
229,442,24,Car,594184.75,10.95,35,2025-10-19,2027-11-10,Closed
230,10858,98,Car,929502.19,10.38,26,2021-10-20,2028-12-17,Default
231,2775,87,Personal,439279.69,9.28,26,2025-04-27,2027-06-20,Active
232,9444,10,Car,816433.89,9.52,41,2022-07-17,2027-05-18,Closed
233,8981,45,Car,340610.37,12.57,20,2024-10-03,2027-02-16,Default
234,8107,30,Personal,753208.16,8.53,38,2021-06-05,2028-02-26,Default
235,13321,2,Personal,659771.47,8.73,18,2024-02-20,2027-07-21,Closed
236,13376,98,Home,966031.4,12.07,32,2025-05-25,2026-10-22,Default
237,9607,59,Car,712567.86,10.05,16,2025-05-02,2028-11-25,Default
238,4601,20,Personal,383799.18,10.23,51,2023-06-22,2028-07-31,Closed
239,14100,41,Home,985635.82,12.25,56,2024-05-14,2027-11-22,Active
240,5590,100,Car,164798.51,9.8,57,2026-04-05,2027-06-29,Active
241,10122,56,Home,729355.34,8.19,19,2025-11-15,2027-12-22,Closed
242,12844,61,Home,348565.85,10.18,31,2025-07-18,2028-11-07,Default
243,6828,69,Personal,514598.11,8.81,42,2021-09-11,2027-01-31,Active
244,5378,73,Car,820484.13,12.63,24,2023-04-13,2027-12-28,Active
245,4388,53,Personal,143339.97,11.32,42,2021-04-03,2028-11-19,Default
246,11177,26,Home,139810.49,10.01,43,2025-02-06,2026-08-17,Closed
247,10930,38,Personal,647398.39,9.29,29,2022-08-10,2026-12-23,Closed
248,14126,40,Car,53817.44,8.9,41,2024-09-15,2026-11-16,Active
249,6818,54,Personal,634674.2,11.09,54,2022-11-25,2028-06-14,Default
250,10627,10,Personal,355926.37,9.68,14,2025-05-15,2026-08-25,Active
251,4589,3,Personal,590312.14,10.67,42,2021-01-20,2028-07-27,Default
252,8953,76,Home,314865.22,10.98,42,2024-05-22,2027-07-24,Active
253,660,15,Home,587028.03,10.9,58,2023-08-26,2028-12-13,Default
254,10775,72,Personal,72753.36,12.02,36,2025-02-19,2028-03-06,Default
255,13085,49,Car,884690.23,10.17,52,2022-05-04,2027-05-21,Default
256,7516,25,Car,228220.05,10.08,19,2025-07-06,2028-07-05,Closed
257,11125,67,Car,852917.53,12.42,57,2025-01-19,2028-09-24,Default
258,14047,23,Personal,671333.92,9.08,14,2022-11-13,2028-07-03,Closed
259,12201,93,Home,822948.88,8.02,29,2024-02-20,2027-06-21,Default
260,5530,45,Car,614131.85,9.41,51,2026-03-20,2028-10-31,Default
261,2201,71,Home,733791.24,10.45,27,2025-10-05,2028-09-27,Active
262,2987,67,Personal,837413.83,10.27,25,2022-02-02,2027-12-03,Default
263,10189,71,Home,640396.04,8.75,47,2022-02-21,2028-12-30,Active
264,639,73,Home,764603.84,10.3,59,2025-06-05,2027-05-21,Closed
265,2168,54,Car,69023.24,10.7,55,2026-01-31,2027-12-11,Default
266,5070,78,Home,332859.32,9.71,34,2023-06-18,2028-12-25,Active
267,5959,1,Home,910137.16,12.24,24,2021-03-12,2026-09-11,Closed
268,13566,37,Home,835279.07,11.35,30,2023-08-28,2028-07-01,Closed
269,6515,49,Personal,568851.09,9.59,49,2021-04-13,2028-01-07,Closed
270,9157,57,Home,330710.94,11.41,40,2024-04-03,2028-02-05,Default
271,1126,17,Car,734017.22,11.92,14,2021-01-22,2027-05-21,Active
272,3166,57,Home,577791.09,8.28,22,2024-04-24,2027-10-20,Active
273,9772,13,Personal,269234.03,8.77,13,2021-04-29,2028-12-16,Default
274,6213,65,Home,895356.43,12.45,43,2025-08-21,2028-11-24,Active
275,7120,73,Home,321606.63,9.71,24,2026-02-27,2028-10-06,Closed
276,269,15,Home,169034.5,10.36,47,2022-04-23,2028-11-07,Default
277,13019,59,Home,792663.66,12.54,56,2023-07-01,2028-11-20,Closed
278,6624,68,Home,74634.18,12.74,17,2025-12-24,2028-02-19,Closed
279,11958,18,Personal,484164.01,10.52,41,2021-12-14,2028-10-23,Default
280,804,90,Personal,502539.48,11.07,40,2024-01-04,2027-05-29,Closed
281,2824,3,Personal,614157.34,12.02,17,2023-07-14,2028-03-06,Closed
282,13177,95,Car,799227.53,9.31,32,2022-11-20,2027-04-04,Default
283,3901,18,Home,669619.78,9.62,57,2024-08-04,2027-03-04,Active
284,1240,68,Car,191197.1,9.43,57,2021-02-03,2026-09-06,Active
285,644,52,Personal,164818.28,11.18,30,2024-12-10,2027-11-13,Closed
286,1028,59,Home,706101.09,9.23,22,2025-06-06,2028-01-04,Default
287,11073,83,Car,998015.49,9.76,40,2023-07-13,2028-04-28,Default
288,52,11,Personal,249902.09,9.25,17,2025-01-21,2026-11-04,Active
289,9939,24,Car,865271.24,11.6,44,2024-11-04,2027-08-30,Closed
290,9372,28,Personal,476764.37,11.55,41,2024-10-20,2026-11-28,Closed
291,12725,7,Personal,459506.79,8.85,28,2020-12-25,2026-12-24,Default
292,12915,93,Personal,987824.76,9.16,23,2024-12-18,2027-07-09,Closed
293,11185,46,Car,814985.69,8.94,49,2026-04-06,2027-11-20,Default
294,8764,19,Car,293951.2,12.12,49,2021-06-24,2027-04-25,Closed
295,7640,22,Home,872848.56,12.72,59,2022-01-21,2029-01-17,Active
296,13848,27,Home,682593.66,9.45,60,2021-01-01,2028-02-25,Closed
297,4127,86,Home,408491.37,9.44,35,2022-05-11,2028-06-12,Default
298,3729,60,Personal,381322.42,8.37,28,2023-02-03,2027-07-30,Active
299,2455,88,Car,247475.07,11.81,42,2022-11-10,2026-08-20,Active
300,381,62,Car,448525.23,11.74,18,2024-08-20,2027-03-17,Closed
301,14095,20,Car,908392.95,8.17,57,2024-08-07,2026-12-01,Active
302,321,37,Personal,418868.33,10.69,22,2023-09-02,2027-12-24,Active
303,10827,75,Car,959117.55,8.03,51,2022-03-05,2028-02-06,Default
304,5370,82,Personal,732606.78,9.11,38,2026-01-29,2028-01-25,Active
305,10508,79,Personal,161075.96,12.94,19,2021-04-10,2028-10-02,Default
306,11067,11,Home,219301.34,11.8,28,2026-02-21,2027-04-25,Active
307,11122,51,Home,600677.54,10.42,55,2024-11-27,2028-10-16,Active
308,14519,2,Home,367903.0,12.23,43,2025-06-23,2027-06-05,Closed
309,3211,86,Personal,146550.48,8.02,21,2021-11-30,2027-06-10,Active
310,4679,48,Personal,228173.03,12.87,58,2021-08-29,2028-11-15,Closed
311,11668,32,Personal,874044.39,8.1,15,2022-07-25,2028-06-05,Default
312,5456,22,Personal,971095.63,10.79,57,2022-12-12,2028-01-24,Active
313,13783,98,Home,99894.58,12.9,13,2022-06-13,2028-05-11,Closed
314,14429,2,Car,386123.71,10.84,52,2023-01-21,2026-10-14,Default
315,11640,30,Home,704961.4,8.12,13,2024-01-13,2028-09-04,Default
316,8229,7,Car,98350.05,12.95,53,2024-09-01,2026-12-07,Closed
317,352,86,Car,361824.82,9.24,40,2024-09-25,2026-10-25,Closed
318,12907,26,Personal,678322.37,9.84,53,2022-01-06,2027-04-27,Closed
319,10487,50,Personal,690736.68,11.19,49,2024-08-07,2028-03-25,Default
320,14087,79,Car,697550.01,11.66,19,2025-05-11,2027-09-21,Closed
321,5228,3,Car,103500.78,11.89,43,2024-03-27,2027-04-02,Default
322,1878,58,Home,569672.31,12.46,28,2024-10-17,2027-09-09,Default
323,8912,56,Car,400346.47,11.9,19,2024-10-09,2027-03-04,Default
324,7084,12,Car,279967.04,9.87,32,2025-05-09,2027-11-11,Default
325,6361,8,Personal,214765.16,12.5,45,2022-08-12,2026-11-01,Default
326,4128,71,Personal,104829.6,10.08,41,2021-08-03,2027-02-21,Default
327,4628,28,Car,366547.73,8.69,36,2025-03-02,2028-07-06,Default
328,14611,14,Home,876556.14,10.85,28,2025-12-16,2028-05-03,Closed
329,14377,53,Home,599665.12,12.73,37,2023-10-07,2028-10-17,Default
330,13184,39,Car,965544.46,9.03,54,2020-12-25,2028-04-14,Active
331,11044,14,Personal,187962.02,12.27,41,2022-12-07,2028-05-28,Closed
332,8640,74,Car,454236.88,10.65,25,2021-05-25,2028-07-10,Default
333,6436,98,Personal,859252.08,11.62,26,2022-08-26,2028-07-04,Default
334,7806,12,Car,288140.6,9.93,31,2024-09-27,2027-09-10,Closed
335,213,21,Home,924754.52,10.44,36,2022-03-31,2027-01-22,Default
336,1437,39,Home,529955.47,8.89,48,2026-04-09,2027-07-22,Default
337,5323,17,Home,214696.04,12.11,59,2023-03-04,2028-10-01,Closed
338,9067,2,Car,335693.77,11.8,17,2021-04-21,2028-09-25,Closed
339,5560,89,Car,399185.79,12.84,47,2022-12-04,2028-07-01,Active
340,9223,67,Car,61662.14,8.09,13,2023-10-08,2028-05-30,Active
341,6978,92,Car,431927.77,9.77,25,2024-06-20,2026-11-13,Default
342,6422,100,Home,690800.76,8.99,28,2025-03-24,2027-07-22,Active
343,603,11,Car,472511.14,12.24,52,2024-07-12,2028-07-06,Active
344,2793,94,Home,196382.0,10.87,60,2021-05-20,2027-10-03,Default
345,3977,17,Personal,738563.11,11.32,19,2024-10-07,2026-09-06,Default
346,14160,89,Personal,412806.42,10.46,31,2021-09-28,2026-08-03,Closed
347,1077,5,Personal,432119.0,8.7,33,2024-01-22,2026-11-28,Closed
348,12050,12,Car,104440.77,12.83,43,2023-12-13,2027-09-05,Active
349,1110,5,Car,782554.93,11.8,60,2023-07-07,2027-02-16,Default
350,234,76,Home,444154.76,11.66,17,2026-01-26,2028-07-17,Default
351,2245,86,Car,211904.14,9.81,30,2025-09-25,2027-10-10,Default
352,11174,40,Home,54821.74,12.53,59,2021-05-06,2027-12-18,Active
353,4601,54,Home,420892.55,10.0,26,2025-04-08,2028-05-10,Closed
354,9963,25,Car,409705.71,9.95,44,2023-01-18,2028-10-29,Active
355,6671,99,Home,52311.84,11.16,58,2022-06-07,2028-03-11,Default
356,10672,41,Personal,212784.25,10.42,31,2021-08-03,2027-07-05,Active
357,6051,1,Car,498750.04,11.21,13,2023-09-15,2026-12-30,Closed
358,8765,11,Car,185223.99,10.78,22,2025-12-01,2028-04-24,Default
359,7118,14,Car,491085.43,9.97,18,2025-03-18,2028-11-25,Closed
360,8389,70,Home,963887.1,8.32,35,2024-02-05,2026-09-25,Default
