transaction_id,account_id,transaction_type,amount,balance_after,transaction_date,channel,merchant,description
87,10380,Debit,4916.74,376443.5,2024-03-21 06:02:32.529667,UPI,Merchant_368,Transaction_87
88,4028,Debit,8463.37,349893.3,2021-10-27 06:02:32.529671,UPI,Merchant_81,Transaction_88
89,4032,Debit,5590.97,122240.88,2021-07-30 06:02:32.529674,Online,,Transaction_89
90,10035,Debit,580.65,317353.71,2024-10-28 06:02:32.529677,ATM,Merchant_256,Transaction_90
91,14213,Debit,1121.83,271032.08,2023-10-09 06:02:32.529681,UPI,Merchant_210,Transaction_91
92,11902,Debit,2562.22,232857.87,2023-02-14 06:02:32.529684,Online,Merchant_209,Transaction_92
93,7100,Credit,4261.59,308236.73,2021-01-16 06:02:32.529688,Online,Merchant_318,Transaction_93
94,7391,Debit,5221.45,24354.77,2022-02-12 06:02:32.529691,Branch,Merchant_71,Transaction_94
95,6892,Credit,9573.34,94387.16,2020-12-26 06:02:32.529695,ATM,Merchant_340,Transaction_95
96,1078,Credit,3907.19,251455.29,2022-03-22 06:02:32.529699,Branch,Merchant_306,Transaction_96
97,11957,Credit,5476.58,373191.93,2022-09-02 06:02:32.529702,Branch,Merchant_70,Transaction_97
98,12266,Credit,9076.07,5913.09,2021-02-19 06:02:32.529706,UPI,Merchant_493,Transaction_98
99,5319,Debit,1425.76,489283.32,2022-11-06 06:02:32.529709,Online,Merchant_292,Transaction_99
100,435,Debit,5987.7,52455.68,2024-06-03 06:02:32.529713,ATM,Merchant_223,Transaction_100
101,1745,Debit,8805.76,22380.11,2021-11-22 06:02:32.529716,Online,Merchant_345,Transaction_101
102,5527,Credit,1309.26,396710.41,2025-09-18 06:02:32.529720,Online,,Transaction_102
103,13117,Credit,189.6,197803.0,2022-07-09 06:02:32.529724,UPI,Merchant_283,Transaction_103
104,1199,Credit,7663.38,284659.69,2023-03-30 06:02:32.529728,UPI,Merchant_303,Transaction_104
105,14034,Credit,6157.06,243325.43,2024-12-25 06:02:32.529731,Branch,Merchant_497,Transaction_105
106,5090,Credit,7521.78,414387.24,2025-03-24 06:02:32.529735,Branch,,Transaction_106
107,1446,Credit,4259.52,444477.01,2021-11-20 06:02:32.529739,UPI,Merchant_52,Transaction_107
108,4460,Credit,3588.72,54372.27,2021-03-24 06:02:32.529742,Online,,Transaction_108
109,2248,Debit,2339.89,371663.95,2024-07-23 06:02:32.529745,ATM,Merchant_466,Transaction_109
110,1246,Credit,9339.65,479327.77,2024-11-28 06:02:32.529749,UPI,Merchant_189,Transaction_110
111,13778,Debit,5164.96,343083.79,2022-03-22 06:02:32.529753,ATM,Merchant_147,Transaction_111
112,3967,Debit,5864.06,333497.91,2025-11-15 06:02:32.529757,Online,Merchant_59,Transaction_112
113,7095,Credit,8781.16,13413.49,2025-03-31 06:02:32.529761,Online,Merchant_69,Transaction_113
114,1317,Debit,2861.83,177630.7,2021-03-02 06:02:32.529764,Online,Merchant_228,Transaction_114
115,11741,Credit,6641.87,395811.01,2025-04-01 06:02:32.529768,ATM,Merchant_473,Transaction_115
116,8377,Credit,7791.26,171618.77,2025-01-24 06:02:32.529771,ATM,Merchant_48,Transaction_116
117,5895,Debit,3987.23,185635.26,2021-07-04 06:02:32.529775,Branch,,Transaction_117
118,2143,Credit,6769.02,438559.23,2025-02-08 06:02:32.529777,Branch,Merchant_120,Transaction_118
119,3072,Debit,5270.54,278572.64,2024-04-18 06:02:32.529781,Branch,Merchant_390,Transaction_119
120,258,Debit,1864.24,359693.54,2021-11-10 06:02:32.529784,ATM,Merchant_286,Transaction_120
121,638,Credit,6378.31,69365.85,2022-02-03 06:02:32.529788,UPI,,Transaction_121
122,5363,Debit,2409.47,463161.01,2022-02-20 06:02:32.529791,Online,Merchant_211,Transaction_122
123,9847,Credit,1930.8,69183.26,2023-01-25 06:02:32.529795,UPI,Merchant_22,Transaction_123
124,1293,Credit,6622.58,400506.95,2021-12-16 06:02:32.529798,Online,,Transaction_124
125,8740,Credit,4021.09,358684.74,2022-11-12 06:02:32.529801,Branch,Merchant_315,Transaction_125
126,2562,Credit,3930.17,401263.99,2025-12-05 06:02:32.529805,Online,,Transaction_126
127,2291,Debit,9468.95,210492.38,2021-02-25 06:02:32.529809,ATM,,Transaction_127
128,8467,Credit,1153.19,68016.6,2021-05-19 06:02:32.529812,Branch,Merchant_190,Transaction_128
129,5599,Debit,3378.76,174090.2,2022-11-24 06:02:32.529815,UPI,Merchant_175,Transaction_129
130,3818,Debit,2914.25,394267.57,2023-09-13 06:02:32.529819,UPI,Merchant_160,Transaction_130
131,5091,Credit,7020.42,179805.49,2026-01-28 06:02:32.529823,Branch,Merchant_336,Transaction_131
132,6717,Credit,1004.7,239747.39,2023-05-27 06:02:32.529826,ATM,Merchant_428,Transaction_132
133,7580,Credit,6556.63,490712.78,2025-09-20 06:02:32.529830,UPI,Merchant_201,Transaction_133
134,9359,Credit,646.73,270459.72,2024-11-10 06:02:32.529834,ATM,,Transaction_134
135,13185,Debit,2890.8,404299.56,2025-04-03 06:02:32.529837,Branch,Merchant_159,Transaction_135
136,14258,Debit,7563.33,469776.38,2025-07-20 06:02:32.529841,Branch,,Transaction_136
137,12727,Debit,9042.06,416414.53,2023-09-04 06:02:32.529844,ATM,,Transaction_137
138,11955,Debit,7055.78,305615.28,2024-04-28 06:02:32.529847,Branch,,Transaction_138
139,5641,Credit,4010.12,43853.3,2025-03-21 06:02:32.529850,ATM,,Transaction_139
140,12122,Credit,7863.08,392225.95,2025-05-08 06:02:32.529853,ATM,Merchant_442,Transaction_140
141,11887,Debit,7478.96,381632.75,2022-02-10 06:02:32.529857,UPI,Merchant_163,Transaction_141
142,14215,Debit,2395.59,89000.56,2025-03-17 06:02:32.529861,Online,Merchant_437,Transaction_142
143,9926,Debit,355.67,132668.74,2022-12-15 06:02:32.529864,Online,Merchant_291,Transaction_143
144,7405,Credit,1416.89,406430.7,2021-07-01 06:02:32.529868,ATM,Merchant_433,Transaction_144
145,3048,Debit,4555.9,380510.89,2024-05-08 06:02:32.529871,Online,Merchant_319,Transaction_145
146,9189,Credit,6498.57,4390.51,2024-10-11 06:02:32.529875,ATM,,Transaction_146
147,13824,Credit,1762.0,485214.16,2023-10-11 06:02:32.529878,ATM,Merchant_66,Transaction_147
148,4336,Debit,1620.75,66854.54,2024-08-16 06:02:32.529882,ATM,Merchant_365,Transaction_148
149,10041,Debit,1462.94,58892.51,2023-11-27 06:02:32.529885,Branch,,Transaction_149
150,11506,Credit,4664.93,471433.91,2025-11-29 06:02:32.529889,UPI,Merchant_318,Transaction_150
151,8703,Credit,894.18,208256.76,2022-09-12 06:02:32.529892,Branch,Merchant_84,Transaction_151
152,12860,Debit,9012.43,253355.25,2023-12-15 06:02:32.529896,Online,Merchant_29,Transaction_152
153,11121,Credit,3507.41,42006.51,2023-11-05 06:02:32.529899,ATM,Merchant_446,Transaction_153
154,1100,Debit,5769.04,394932.61,2025-03-17 06:02:32.529903,ATM,Merchant_279,Transaction_154
155,11442,Credit,2803.07,54310.95,2021-08-27 06:02:32.529906,UPI,Merchant_402,Transaction_155
156,644,Debit,2515.91,102680.12,2021-12-15 06:02:32.529910,UPI,,Transaction_156
157,11763,Credit,2270.08,486144.67,2023-06-15 06:02:32.529913,UPI,Merchant_263,Transaction_157
158,10446,Debit,9085.07,207943.59,2022-11-23 06:02:32.529917,ATM,Merchant_162,Transaction_158
159,1931,Debit,4847.81,455837.55,2023-02-26 06:02:32.529921,Online,Merchant_54,Transaction_159
160,13307,Credit,5401.21,294697.06,2022-04-17 06:02:32.529924,ATM,Merchant_204,Transaction_160
161,1841,Credit,441.7,454189.29,2024-06-11 06:02:32.529928,UPI,Merchant_319,Transaction_161
162,927,Credit,1324.51,293516.09,2025-05-24 06:02:32.529931,ATM,Merchant_209,Transaction_162
163,4588,Debit,7749.18,4589.5,2025-01-07 06:02:32.529935,UPI,Merchant_343,Transaction_163
164,3077,Debit,3377.14,293737.68,2023-10-12 06:02:32.529938,Branch,Merchant_497,Transaction_164
165,9804,Debit,9.93,492545.6,2021-12-02 06:02:32.529942,ATM,Merchant_14,Transaction_165
166,9905,Debit,3203.19,290529.84,2023-07-20 06:02:32.529945,ATM,,Transaction_166
167,12256,Credit,5453.12,337112.77,2020-12-11 06:02:32.529948,ATM,Merchant_401,Transaction_167
168,2945,Credit,4798.76,209124.67,2021-05-20 06:02:32.529952,UPI,,Transaction_168
169,3088,Credit,7132.53,137408.9,2022-01-15 06:02:32.529955,ATM,Merchant_488,Transaction_169
170,2132,Debit,5857.16,14033.81,2022-10-19 06:02:32.529959,UPI,Merchant_116,Transaction_170
171,13217,Debit,2469.5,240434.05,2022-08-11 06:02:32.529962,Branch,Merchant_240,Transaction_171
172,3219,Credit,1272.16,152344.31,2021-03-28 06:02:32.529966,Online,Merchant_423,Transaction_172
173,10119,Debit,9278.96,248231.52,2021-03-06 06:02:32.529969,Online,Merchant_112,Transaction_173
174,7082,Credit,2959.9,375275.58,2022-06-18 06:02:32.529973,ATM,Merchant_302,Transaction_174
175,13227,Credit,3428.63,73976.1,2025-08-15 06:02:32.529977,ATM,,Transaction_175
176,7297,Debit,2375.95,353132.98,2021-11-09 06:02:32.529980,Branch,Merchant_153,Transaction_176
177,545,Credit,2577.31,78454.15,2024-03-25 06:02:32.529983,Branch,Merchant_283,Transaction_177
178,151,Debit,4680.07,429244.85,2024-06-03 06:02:32.529987,Branch,Merchant_364,Transaction_178
179,13453,Credit,5993.45,402926.11,2024-09-12 06:02:32.529990,Online,Merchant_31,Transaction_179
180,567,Debit,2290.11,364245.69,2025-05-22 06:02:32.529994,Branch,Merchant_498,Transaction_180
181,10595,Credit,2105.84,425497.23,2024-09-03 06:02:32.529998,UPI,Merchant_102,Transaction_181
182,2544,Credit,7404.8,389363.56,2026-02-24 06:02:32.530001,UPI,Merchant_200,Transaction_182
183,4554,Debit,318.76,125731.2,2024-04-02 06:02:32.530005,UPI,,Transaction_183
184,12190,Credit,1128.81,363305.04,2024-04-24 06:02:32.530009,ATM,Merchant_191,Transaction_184
185,12793,Credit,4609.63,128173.61,2025-10-24 06:02:32.530012,Online,Merchant_425,Transaction_185
186,13002,Credit,713.52,442075.24,2025-04-10 06:02:32.530016,Online,,Transaction_186
187,6369,Debit,7085.0,489046.35,2023-09-18 06:02:32.530019,Online,Merchant_229,Transaction_187
188,11601,Credit,1662.31,103594.34,2025-03-10 06:02:32.530022,Online,Merchant_419,Transaction_188
189,6904,Debit,7868.17,157149.91,2022-02-26 06:02:32.530026,Branch,,Transaction_189
190,12538,Debit,2032.3,41370.82,2023-06-25 06:02:32.530029,UPI,Merchant_447,Transaction_190
191,12083,Credit,5029.89,141288.52,2023-02-16 06:02:32.530033,UPI,Merchant_272,Transaction_191
192,13022,Credit,2424.98,252654.75,2021-03-09 06:02:32.530037,UPI,Merchant_323,Transaction_192
193,14513,Debit,7340.52,200749.58,2022-11-02 06:02:32.530041,Branch,Merchant_314,Transaction_193
194,10189,Credit,3443.61,405145.2,2023-04-17 06:02:32.530044,ATM,Merchant_478,Transaction_194
195,3556,Debit,5582.88,270009.44,2021-07-24 06:02:32.530048,UPI,Merchant_494,Transaction_195
196,1125,Debit,1706.09,164275.3,2022-11-06 06:02:32.530052,UPI,Merchant_188,Transaction_196
197,203,Debit,1915.67,124170.95,2025-04-04 06:02:32.530055,ATM,Merchant_297,Transaction_197
198,14618,Credit,7371.33,188675.74,2022-03-19 06:02:32.530058,ATM,Merchant_188,Transaction_198
199,10791,Credit,3777.2,318798.44,2024-08-20 06:02:32.530062,Branch,,Transaction_199
200,10497,Debit,7350.22,477811.0,2025-10-28 06:02:32.530065,UPI,Merchant_183,Transaction_200
201,534,Debit,3652.97,431327.65,2022-02-04 06:02:32.530069,Branch,,Transaction_201
202,8165,Credit,7650.22,429285.83,2022-04-23 06:02:32.530073,Branch,Merchant_22,Transaction_202
203,8435,Credit,7858.37,298996.53,2022-11-11 06:02:32.530077,UPI,Merchant_168,Transaction_203
204,3719,Debit,4083.91,350565.49,2022-08-29 06:02:32.530080,Online,Merchant_185,Transaction_204
205,8977,Debit,632.12,73587.49,2025-09-19 06:02:32.530084,Online,Merchant_275,Transaction_205
206,1134,Debit,1054.12,447990.99,2023-12-21 06:02:32.530088,ATM,Merchant_244,Transaction_206
207,2432,Debit,7247.73,317818.82,2025-04-29 06:02:32.530091,ATM,Merchant_442,Transaction_207
208,1989,Credit,9580.13,175648.22,2021-09-25 06:02:32.530095,UPI,Merchant_173,Transaction_208
209,9938,Credit,4418.01,343099.37,2021-01-27 06:02:32.530098,Online,Merchant_412,Transaction_209
210,8518,Credit,7638.2,57357.92,2022-01-22 06:02:32.530102,Online,,Transaction_210
211,7937,Debit,3311.61,115044.2,2023-04-23 06:02:32.530105,Branch,Merchant_461,Transaction_211
212,11205,Debit,5801.93,234958.89,2021-01-12 06:02:32.530109,Online,,Transaction_212
213,5958,Credit,7332.01,487987.0,2025-07-03 06:02:32.530112,Branch,Merchant_113,Transaction_213
214,11582,Credit,496.19,403789.22,2024-06-07 06:02:32.530115,Online,Merchant_419,Transaction_214
215,8284,Credit,9223.42,227321.6,2023-03-15 06:02:32.530119,UPI,,Transaction_215
216,13504,Debit,6022.93,472812.26,2022-09-11 06:02:32.530122,UPI,,Transaction_216
217,6049,Credit,353.53,105820.29,2024-10-17 06:02:32.530126,Branch,Merchant_425,Transaction_217
218,12976,Debit,1264.04,456810.75,2022-04-09 06:02:32.530129,ATM,Merchant_353,Transaction_218
219,14108,Debit,8487.94,478471.39,2025-12-12 06:02:32.530133,ATM,Merchant_95,Transaction_219
220,510,Credit,5214.3,364854.54,2021-12-17 06:02:32.530137,UPI,Merchant_351,Transaction_220
221,8047,Credit,9620.99,50950.63,2022-02-18 06:02:32.530140,Branch,,Transaction_221
222,1998,Debit,8238.57,497127.8,2023-09-11 06:02:32.530143,ATM,Merchant_456,Transaction_222
223,5371,Credit,5900.91,329882.87,2024-09-02 06:02:32.530147,Branch,Merchant_152,Transaction_223
224,8536,Credit,6100.53,30472.06,2025-08-21 06:02:32.530150,Branch,Merchant_384,Transaction_224
225,6516,Credit,2108.3,247261.36,2025-11-03 06:02:32.530154,UPI,Merchant_201,Transaction_225
226,13232,Debit,3159.69,337139.1,2021-01-12 06:02:32.530158,ATM,Merchant_177,Transaction_226
227,5520,Credit,4221.95,229871.31,2021-08-26 06:02:32.530161,Online,,Transaction_227
228,3420,Debit,5110.72,160473.91,2024-04-17 06:02:32.530164,Online,,Transaction_228
229,7751,Debit,358.05,270142.5,2025-03-05 06:02:32.530167,ATM,Merchant_23,Transaction_229
230,11471,Debit,3638.05,281897.82,2021-10-10 06:02:32.530171,UPI,Merchant_329,Transaction_230
231,13934,Debit,9100.95,475130.76,2024-03-02 06:02:32.530174,Branch,Merchant_478,Transaction_231
232,1786,Debit,6054.29,112832.08,2021-02-04 06:02:32.530178,UPI,,Transaction_232
233,10129,Debit,3890.72,354725.84,2021-03-13 06:02:32.530181,Online,Merchant_316,Transaction_233
234,4925,Credit,9528.56,210444.96,2022-12-08 06:02:32.530185,Online,Merchant_400,Transaction_234
235,11516,Debit,6680.7,491979.68,2021-06-02 06:02:32.530188,ATM,Merchant_213,Transaction_235
236,1793,Credit,5680.93,182600.56,2022-07-27 06:02:32.530192,UPI,Merchant_120,Transaction_236
237,3960,Debit,6389.76,47405.3,2023-07-24 06:02:32.530196,UPI,Merchant_369,Transaction_237
238,5707,Credit,8400.59,198860.76,2023-03-05 06:02:32.530199,Online,Merchant_123,Transaction_238
239,13840,Debit,7668.34,48698.35,2022-11-15 06:02:32.530203,Branch,Merchant_357,Transaction_239
240,4622,Credit,8565.04,244944.06,2022-01-15 06:02:32.530206,Branch,,Transaction_240
241,6965,Credit,1681.41,9459.6,2022-12-03 06:02:32.530209,UPI,,Transaction_241
242,1914,Credit,6539.66,493478.51,2024-02-09 06:02:32.530212,Branch,,Transaction_242
243,13071,Credit,3209.58,245355.27,2020-11-11 06:02:32.530215,ATM,Merchant_101,Transaction_243
244,13869,Debit,6819.72,389406.75,2022-08-07 06:02:32.530219,Online,Merchant_45,Transaction_244
245,4650,Credit,3910.66,121975.63,2025-12-27 06:02:32.530223,ATM,Merchant_471,Transaction_245
246,7075,Credit,4554.11,360542.86,2025-03-19 06:02:32.530227,ATM,Merchant_265,Transaction_246
247,6986,Credit,2252.94,368578.21,2023-06-09 06:02:32.530230,Branch,Merchant_121,Transaction_247
248,932,Debit,5921.5,488247.03,2024-05-24 06:02:32.530234,Online,Merchant_488,Transaction_248
249,1146,Debit,1649.77,364476.77,2024-02-01 06:02:32.530237,ATM,Merchant_453,Transaction_249
250,2301,Credit,8271.2,222662.76,2023-04-01 06:02:32.530241,Branch,Merchant_202,Transaction_250
251,10143,Debit,3566.88,103623.96,2022-05-11 06:02:32.530244,UPI,Merchant_483,Transaction_251
252,3372,Credit,1919.42,409375.84,2022-07-26 06:02:32.530248,ATM,,Transaction_252
253,3077,Debit,4001.44,389019.91,2023-08-08 06:02:32.530251,UPI,,Transaction_253
254,1914,Credit,6581.3,355732.78,2022-10-06 06:02:32.530255,UPI,Merchant_405,Transaction_254
255,12717,Debit,5342.53,293712.7,2024-12-06 06:02:32.530258,Branch,Merchant_126,Transaction_255
256,4439,Credit,8140.28,459765.08,2024-08-11 06:02:32.530263,ATM,Merchant_43,Transaction_256
257,9703,Debit,4597.07,405046.96,2022-10-02 06:02:32.530266,Online,Merchant_431,Transaction_257
258,6633,Debit,300.35,53628.05,2024-02-20 06:02:32.530270,UPI,Merchant_371,Transaction_258
259,9058,Debit,5086.72,483287.13,2025-08-25 06:02:32.530274,UPI,,Transaction_259
260,9449,Debit,68.77,477792.34,2022-04-02 06:02:32.530277,Branch,,Transaction_260
261,12806,Debit,9248.42,129406.64,2022-07-10 06:02:32.530280,ATM,,Transaction_261
262,4120,Debit,1000.66,309987.84,2024-12-15 06:02:32.530283,UPI,Merchant_186,Transaction_262
263,484,Debit,4922.98,443287.34,2024-02-04 06:02:32.530287,Branch,Merchant_495,Transaction_263
264,5580,Credit,3272.83,221992.63,2022-05-12 06:02:32.530291,ATM,Merchant_223,Transaction_264
265,11386,Credit,2409.16,51105.24,2024-09-03 06:02:32.530295,Online,Merchant_115,Transaction_265
266,6214,Debit,9382.32,265864.16,2024-10-11 06:02:32.530298,Online,Merchant_335,Transaction_266
267,7111,Debit,8561.16,371012.34,2023-01-22 06:02:32.530302,Branch,Merchant_236,Transaction_267
268,710,Credit,3087.36,281399.63,2023-12-16 06:02:32.530305,Online,Merchant_36,Transaction_268
269,38,Credit,7914.65,417313.8,2021-07-27 06:02:32.530309,UPI,,Transaction_269
270,6113,Credit,6032.05,95537.68,2025-06-03 06:02:32.530313,UPI,Merchant_116,Transaction_270
271,4360,Debit,8139.75,116370.02,2024-06-24 06:02:32.530316,UPI,Merchant_334,Transaction_271
