account_id,customer_id,branch_id,account_type,account_status,balance,opened_date,closed_date
44,3919,81,Current,Active,470937.32,2022-03-11,
45,8304,12,Current,Active,454057.06,2021-08-28,2024-12-22
46,1864,95,Savings,Active,282042.42,2023-12-29,2026-04-11
47,9855,78,Savings,Active,285657.18,2024-04-14,2025-03-17
48,13841,1,Salary,Inactive,475596.38,2025-11-08,
49,3948,76,Savings,Inactive,285992.9,2023-07-22,2025-01-06
50,14335,15,Savings,Inactive,484272.52,2022-02-03,2025-06-19
51,12320,52,Salary,Inactive,341373.2,2023-10-26,
52,6965,20,Savings,Inactive,382119.55,2021-06-16,
53,8355,8,Savings,Inactive,60904.31,2026-01-30,2026-04-23
54,5728,58,Salary,Closed,203870.89,2021-05-29,
55,14839,18,Savings,Closed,326740.24,2023-02-18,2025-09-21
56,971,76,Salary,Closed,489339.82,2022-09-17,
57,8176,59,Salary,Closed,67814.44,2021-01-02,2025-12-31
58,5354,14,Salary,Active,315396.46,2022-02-16,
59,3202,11,Savings,Active,251662.92,2023-01-25,2025-01-16
60,3299,15,Salary,Active,267594.66,2022-12-22,2025-05-18
61,2698,96,Savings,Inactive,435613.82,2025-02-03,2025-12-29
62,2959,51,Current,Active,41223.48,2022-06-20,
63,7399,24,Current,Closed,149423.3,2022-06-15,2025-06-10
64,9397,45,Current,Inactive,256277.62,2026-03-05,2025-03-07
65,5460,4,Current,Inactive,104875.16,2025-04-09,2025-10-18
66,2651,51,Salary,Active,396022.98,2022-11-04,2024-12-28
67,4802,90,Current,Inactive,215274.98,2024-05-02,2025-06-10
68,669,72,Savings,Inactive,440503.01,2023-05-24,2025-03-29
69,8045,18,Salary,Inactive,408967.35,2022-09-08,
70,3818,68,Savings,Inactive,453140.96,2020-12-10,2026-04-12
71,13339,21,Salary,Active,113861.6,2024-04-11,2025-11-20
72,10140,53,Savings,Closed,71621.44,2025-08-20,2025-04-01
73,8859,19,Savings,Closed,193425.01,2025-11-27,2025-10-17
74,2780,91,Salary,Closed,114659.0,2024-05-25,2024-12-14
75,2651,44,Current,Inactive,12769.78,2021-12-06,2026-03-06
76,14398,9,Salary,Active,357030.78,2024-08-30,2025-06-23
77,12854,14,Salary,Closed,112939.02,2024-06-19,2026-04-13
78,13311,66,Current,Inactive,367382.65,2024-06-20,2025-01-26
79,1997,88,Current,Closed,433784.95,2025-03-05,2025-04-11
80,5656,54,Current,Closed,412329.9,2026-03-02,
81,10877,91,Salary,Inactive,410144.56,2024-03-16,
82,11864,87,Savings,Inactive,462605.79,2021-03-07,2025-05-14
83,100,26,Savings,Active,162436.47,2021-11-18,2025-07-10
84,2977,20,Salary,Closed,119143.91,2021-12-19,
85,9139,6,Salary,Closed,268148.88,2022-11-18,2026-03-11
86,11217,93,Savings,Active,353707.21,2025-11-09,2025-11-03
87,1909,98,Salary,Active,483415.64,2021-01-21,
88,10321,81,Current,Closed,321601.7,2021-11-17,
89,8301,79,Savings,Inactive,352334.34,2024-08-01,2024-12-23
90,9122,28,Salary,Inactive,298774.17,2021-08-14,
91,3221,22,Savings,Active,18314.49,2024-11-06,
92,7714,61,Current,Active,420855.76,2023-05-22,2026-03-13
93,2995,63,Savings,Active,138723.36,2022-09-22,
94,5878,55,Savings,Active,376806.67,2021-12-22,
95,14924,71,Salary,Closed,492759.14,2023-01-21,2025-09-09
96,4228,73,Savings,Inactive,379567.13,2022-06-03,
97,9373,25,Salary,Inactive,25755.97,2024-04-15,2026-03-12
98,460,15,Savings,Active,229108.31,2021-03-16,2025-12-19
99,2821,56,Savings,Active,227722.71,2021-04-01,
100,3710,32,Savings,Inactive,342181.66,2024-08-25,2025-09-20
101,11763,28,Current,Inactive,222592.18,2022-07-22,2024-12-28
102,13458,32,Salary,Active,421559.19,2021-11-27,2025-08-15
103,7414,18,Savings,Inactive,122228.85,2022-07-19,2025-10-05
104,3128,71,Salary,Inactive,317505.11,2025-10-05,2025-06-07
105,4176,35,Savings,Active,488273.08,2022-03-27,2025-10-18
106,7791,82,Current,Active,161665.89,2021-08-27,2025-01-14
107,2601,36,Salary,Active,176434.56,2021-03-14,2024-12-19
108,12746,24,Savings,Closed,328198.73,2026-04-09,
109,4875,71,Salary,Inactive,397373.2,2026-03-20,2026-01-05
110,11561,87,Salary,Inactive,371247.94,2024-06-19,2025-07-07
111,10192,89,Salary,Inactive,165757.49,2021-11-25,2025-05-25
112,2765,95,Savings,Closed,324663.33,2026-02-28,2025-08-11
113,5311,97,Savings,Active,202764.22,2022-04-19,2024-12-19
114,2691,2,Salary,Active,470602.76,2021-02-25,2025-07-10
115,9269,26,Savings,Closed,258467.52,2025-03-31,2025-12-19
116,1596,84,Savings,Closed,498531.83,2024-06-01,2026-01-10
117,7141,3,Salary,Closed,130788.3,2022-12-21,2025-05-09
118,8645,40,Current,Active,291392.03,2024-03-04,2025-01-02
119,13789,92,Current,Active,434341.64,2024-02-07,
120,2797,72,Savings,Closed,452083.05,2021-03-16,2025-07-06
121,3033,50,Salary,Closed,464384.41,2022-03-27,2025-04-07
122,13539,58,Salary,Active,249710.01,2022-07-02,2025-11-23
123,13942,58,Salary,Active,447223.74,2021-02-03,2025-07-21
124,7555,52,Savings,Closed,96357.67,2026-03-01,2026-01-21
125,10953,14,Salary,Inactive,419936.42,2023-02-13,2025-04-22
126,5791,5,Savings,Inactive,96782.32,2021-03-25,2025-11-06
127,14497,54,Savings,Closed,113729.74,2022-05-24,2025-04-12
128,11337,100,Savings,Active,41183.55,2022-04-02,2026-03-25
129,4840,8,Salary,Inactive,122093.55,2021-05-04,2025-11-06
130,12523,21,Salary,Closed,480498.52,2025-06-09,2025-10-30
131,2822,47,Current,Closed,469945.71,2021-01-03,2025-03-01
132,133,7,Salary,Inactive,299842.09,2024-02-18,
133,11306,69,Salary,Closed,146559.37,2022-12-15,2025-04-01
134,2879,79,Salary,Inactive,415844.07,2020-11-18,
135,2439,58,Current,Inactive,47974.67,2023-12-28,2025-03-11
136,1072,45,Salary,Inactive,113696.37,2021-08-06,2025-07-09
137,7720,58,Salary,Closed,458822.87,2023-01-16,2025-09-06
138,1504,32,Savings,Closed,417327.75,2025-08-20,2025-06-11
139,7204,62,Current,Inactive,382918.68,2025-12-21,2025-07-18
140,3733,43,Salary,Inactive,414885.74,2024-04-24,2026-04-19
141,10331,52,Current,Closed,301372.34,2021-05-29,2025-08-20
142,10181,55,Salary,Closed,496943.37,2024-11-18,2025-12-18
143,6071,31,Salary,Inactive,354808.95,2023-01-19,
144,7912,93,Salary,Closed,98014.42,2021-10-27,2026-04-20
145,10459,99,Current,Inactive,219463.54,2024-02-10,2025-05-12
146,2844,87,Savings,Active,100530.96,2023-08-11,2025-06-02
147,5048,43,Current,Closed,403514.45,2022-04-13,
148,2167,25,Current,Active,155933.18,2024-12-05,2025-11-22
149,3198,73,Current,Closed,309690.93,2025-01-05,2025-05-01
150,11112,37,Current,Closed,470443.49,2022-11-19,
151,13761,38,Current,Active,319939.75,2024-12-03,
152,7369,21,Current,Closed,131343.19,2022-12-05,
153,13234,2,Current,Active,142466.62,2022-03-10,2025-05-05
154,14169,69,Salary,Inactive,338707.19,2025-07-02,
155,13266,74,Current,Active,247791.33,2025-07-22,2025-07-18
156,125,18,Savings,Inactive,136205.52,2023-08-24,2025-11-09
157,6036,67,Salary,Active,107284.89,2022-04-19,2025-08-01
158,14047,55,Salary,Closed,468946.33,2023-05-08,2026-02-23
159,9499,92,Current,Closed,497256.68,2022-03-25,2025-05-07
160,3257,46,Savings,Closed,397197.88,2024-09-19,
161,619,71,Current,Active,18405.81,2024-05-05,
162,14026,15,Salary,Inactive,350951.31,2025-08-01,2026-03-11
163,6240,50,Savings,Inactive,275761.46,2024-06-28,2025-07-22
164,9431,6,Savings,Closed,478950.19,2024-07-31,2025-09-26
165,9319,46,Savings,Active,48016.46,2023-07-29,2025-06-28
166,14622,60,Current,Closed,99398.12,2023-11-16,2026-02-16
167,2234,97,Salary,Inactive,82003.5,2022-10-04,2025-06-05
168,6764,71,Savings,Inactive,252387.53,2024-04-11,
169,13455,78,Savings,Inactive,477420.9,2022-08-09,2025-12-28
170,1953,35,Salary,Closed,18524.72,2023-11-20,2026-03-16
171,6106,12,Savings,Inactive,243262.0,2025-02-02,2025-03-06
172,7773,74,Salary,Active,220647.61,2025-04-28,2025-12-18
173,14522,36,Salary,Closed,375248.22,2021-06-13,2025-06-08
174,2434,69,Salary,Closed,244434.77,2024-06-28,
175,5844,23,Salary,Closed,260553.44,2024-09-23,2026-04-04
176,6660,35,Salary,Active,280378.45,2023-09-08,2026-04-16
177,8017,81,Salary,Closed,439160.37,2021-01-28,2025-11-30
178,5839,20,Current,Inactive,121411.76,2023-08-22,2026-03-11
179,2785,84,Current,Inactive,445295.72,2021-03-16,2025-08-22
180,3265,52,Current,Inactive,428700.52,2021-01-21,2026-04-17
181,10091,30,Current,Closed,49017.95,2021-03-01,2025-11-23
182,7502,25,Current,Closed,420914.62,2020-11-01,
183,14516,26,Current,Active,48187.03,2024-04-03,
184,4299,17,Savings,Closed,58054.93,2023-03-04,2026-02-20
185,6620,96,Savings,Active,418880.53,2023-12-20,2026-04-07
186,9155,50,Salary,Closed,154072.87,2024-05-30,2026-02-02
187,14564,54,Savings,Inactive,324588.69,2021-10-26,2025-09-19
188,11995,70,Salary,Closed,493732.15,2023-02-06,2025-03-31
189,7171,36,Salary,Closed,88494.48,2022-08-02,2026-03-30
190,4706,36,Current,Inactive,342948.12,2022-07-06,2025-04-05
191,8223,8,Current,Inactive,135052.15,2024-06-27,2025-04-26
192,12365,69,Salary,Closed,494649.68,2022-10-19,2025-08-09
193,10070,8,Current,Active,59541.41,2021-09-25,2025-10-23
194,3011,36,Current,Closed,336927.38,2020-11-22,2025-05-25
195,7991,39,Salary,Active,27454.29,2021-11-23,
196,6886,14,Current,Active,216165.92,2026-04-04,2025-08-29
197,7158,17,Savings,Inactive,235285.91,2022-11-29,2024-12-30
198,14018,22,Savings,Closed,383984.86,2021-08-24,2026-02-12
199,13879,11,Salary,Inactive,273719.22,2023-11-13,2025-01-18
200,1869,100,Salary,Closed,105630.9,2023-09-25,2025-10-09
201,5168,44,Salary,Inactive,481527.14,2023-06-20,2025-12-11
202,4591,90,Current,Inactive,40972.48,2024-02-07,2026-01-10
203,8322,62,Salary,Closed,60382.28,2023-10-22,2026-01-29
204,7536,24,Current,Closed,45073.77,2024-12-19,
205,11600,26,Savings,Inactive,473535.74,2023-10-12,2026-04-11
206,3363,52,Salary,Closed,439562.04,2025-12-19,
207,2609,87,Savings,Closed,435003.61,2024-09-06,2025-04-02
208,4869,18,Current,Active,39408.04,2025-09-05,2025-08-21
209,2119,23,Salary,Active,291853.88,2022-04-09,2025-12-28
210,4199,30,Current,Inactive,54242.29,2023-12-25,2025-08-24
211,4609,13,Savings,Inactive,286433.61,2022-07-14,2025-08-13
212,12550,80,Salary,Closed,420976.14,2025-10-15,
213,11082,31,Savings,Active,224005.2,2026-02-08,
214,12254,6,Savings,Closed,389011.34,2021-07-27,2025-10-03
215,14333,57,Salary,Closed,155152.36,2024-12-26,
216,14946,12,Savings,Closed,49138.34,2023-09-19,2025-08-26
217,7479,17,Savings,Active,127262.15,2026-02-28,
218,9303,66,Salary,Active,218881.9,2020-11-21,2025-08-27
219,8368,11,Current,Active,6069.9,2021-01-31,2026-03-02
220,4112,87,Salary,Closed,232009.35,2021-04-28,2025-02-14
221,4404,11,Savings,Active,236603.77,2021-07-25,2025-07-21
222,2660,77,Savings,Closed,162091.83,2024-11-09,
223,4406,61,Savings,Inactive,323998.4,2021-11-09,2025-11-11
224,1576,84,Salary,Active,40477.75,2021-03-06,2025-05-11
225,7232,61,Savings,Inactive,38878.28,2023-11-17,
226,1385,18,Current,Inactive,254290.52,2023-11-13,2025-04-02
227,14520,27,Savings,Inactive,368288.38,2021-04-02,2025-01-31
228,8386,46,Salary,Inactive,425526.8,2023-08-14,
229,8773,17,Salary,Inactive,20498.51,2021-10-04,2025-09-10
230,6021,45,Salary,Inactive,212757.34,2026-01-10,2025-09-02
231,9009,64,Savings,Inactive,229760.79,2021-01-09,
232,1576,19,Salary,Closed,29449.16,2024-04-05,2026-01-09
233,6778,74,Savings,Active,389350.88,2025-07-30,2025-02-12
234,14670,38,Salary,Closed,397459.18,2024-08-09,2025-12-20
235,2356,55,Current,Inactive,462861.77,2023-04-10,2026-02-07
236,12650,53,Salary,Closed,254615.05,2025-05-06,2026-03-22
237,3536,3,Salary,Closed,187653.41,2025-12-10,2025-11-29
238,7419,2,Current,Inactive,448836.38,2026-03-11,
239,3550,51,Salary,Active,233412.37,2021-12-25,2025-04-19
240,11424,99,Current,Active,30681.48,2021-11-06,2025-09-16
241,4112,99,Salary,Active,464106.67,2024-02-09,2025-01-10
242,2088,40,Salary,Active,58275.13,2022-12-06,
243,1068,36,Current,Inactive,199853.6,2023-11-03,2026-03-12
244,2051,26,Salary,Active,112859.66,2022-04-18,
245,12450,10,Salary,Active,402650.62,2022-08-11,2025-12-25
246,13175,75,Salary,Active,15667.56,2024-11-27,2025-10-25
247,1224,8,Current,Closed,225334.13,2024-01-29,2026-02-14
248,14140,91,Savings,Closed,441112.49,2021-09-20,2025-11-06
249,5679,19,Savings,Active,278307.32,2025-07-25,2025-06-05
250,14337,96,Current,Active,128470.3,2025-02-09,2026-02-18
251,12313,59,Salary,Active,206012.04,2025-05-24,2026-02-22
252,5774,46,Savings,Inactive,55612.85,2025-07-17,
253,5897,94,Salary,Closed,458633.58,2026-04-22,2026-04-04
254,10204,33,Savings,Closed,265646.98,2025-02-01,2025-10-28
255,6829,60,Savings,Inactive,158612.09,2020-12-14,2026-03-18
256,7488,20,Current,Active,291767.41,2022-11-07,2024-12-31
257,6918,85,Salary,Closed,430626.01,2023-09-26,2025-01-08
258,5107,4,Savings,Inactive,320899.92,2024-01-28,
259,11285,29,Current,Closed,269101.8,2021-09-21,2025-05-13
260,3024,43,Salary,Inactive,212933.03,2022-04-12,2025-02-10
261,7566,7,Current,Closed,100738.91,2023-11-02,2025-07-08
262,2013,100,Savings,Active,424084.57,2021-04-14,2025-11-13
263,12253,7,Savings,Inactive,280358.19,2021-11-03,
264,9710,3,Salary,Inactive,126991.63,2024-08-14,
265,14362,88,Salary,Inactive,11198.17,2022-03-09,2025-04-25
266,3993,20,Salary,Inactive,31276.79,2025-11-22,2025-06-15
267,3116,44,Savings,Closed,374054.86,2023-02-08,2026-03-23
268,9757,65,Current,Inactive,66.56,2025-05-14,2025-09-18
269,5097,34,Current,Active,398993.95,2023-04-06,2025-03-18
270,7615,27,Salary,Active,331212.91,2024-07-13,
271,5595,59,Savings,Closed,434823.94,2022-01-28,
272,7773,80,Current,Active,1839.33,2022-04-21,
273,3228,60,Salary,Inactive,303790.08,2025-03-23,
274,5522,56,Savings,Closed,415746.38,2026-02-18,
275,1830,36,Salary,Closed,154321.49,2021-09-27,
276,6363,72,Salary,Active,434980.42,2021-11-10,
277,14722,34,Savings,Closed,128445.63,2024-01-31,
278,11981,66,Salary,Active,432365.65,2024-11-11,2025-02-14
279,9948,62,Current,Active,137874.83,2024-03-01,
280,13297,77,Savings,Inactive,260031.15,2022-10-09,2026-03-04
281,2878,99,Savings,Active,332165.31,2025-01-09,2026-04-01
282,10991,62,Savings,Closed,212324.84,2022-09-20,
283,933,76,Salary,Closed,131429.26,2025-09-07,
284,2937,26,Salary,Active,237234.78,2022-01-09,2025-02-27
285,5155,1,Savings,Active,396206.78,2024-07-31,2026-02-26
286,13733,83,Savings,Closed,90096.12,2021-09-27,2026-02-19
287,11389,3,Current,Active,266399.27,2021-02-04,
288,8836,13,Current,Closed,208208.85,2020-12-06,2025-10-13
289,13242,53,Savings,Active,104274.78,2023-06-08,2025-08-03
290,6660,66,Savings,Inactive,15151.4,2024-05-01,
291,4223,38,Savings,Inactive,67448.09,2024-08-22,2025-12-19
292,8436,71,Savings,Active,228406.41,2024-05-03,2026-04-16
293,3112,7,Savings,Active,203544.08,2021-09-11,2026-03-07
294,8494,39,Salary,Closed,480308.6,2021-05-30,2025-01-06
295,1790,54,Savings,Closed,82723.23,2025-06-14,2025-06-26
296,4142,3,Current,Inactive,225792.98,2025-01-10,2025-08-08
297,1308,26,Current,Active,340251.71,2025-06-02,2025-04-15
298,12953,38,Savings,Inactive,318884.71,2024-04-04,2026-03-13
299,7380,11,Current,Closed,338566.5,2022-08-07,
300,7706,97,Current,Closed,140743.53,2025-07-24,2025-10-22
301,2698,34,Savings,Closed,345335.55,2022-07-03,2025-03-13
302,1318,36,Salary,Active,241855.39,2023-09-27,2025-05-13
303,3450,95,Salary,Inactive,17074.42,2024-11-09,2025-03-30
304,3144,24,Salary,Active,331653.79,2022-04-20,2025-10-16
305,2403,34,Savings,Active,368851.63,2023-03-15,
306,11168,35,Savings,Closed,91202.61,2025-03-24,2025-04-06
307,6664,70,Current,Active,94202.74,2021-01-10,2025-02-07
308,12236,3,Savings,Inactive,231977.22,2022-07-14,2025-04-04
309,14678,26,Current,Active,420333.35,2020-11-01,2025-05-10
310,10572,96,Savings,Inactive,431823.76,2021-02-01,2026-03-28
311,462,9,Current,Inactive,458370.62,2023-11-08,2025-08-04
312,14657,63,Savings,Closed,203033.69,2021-03-14,
313,2616,14,Savings,Inactive,403129.94,2026-03-09,2025-06-05
314,11153,62,Savings,Inactive,432904.99,2025-10-01,2025-02-22
315,4786,41,Current,Active,399003.64,2021-06-27,
316,8932,52,Savings,Active,261564.77,2025-11-03,2024-12-15
317,12763,42,Savings,Closed,189011.87,2023-04-13,2026-01-26
318,1299,77,Savings,Inactive,452469.07,2022-09-12,2024-12-10
319,10761,83,Current,Closed,134535.35,2021-03-16,2025-09-16
320,53,27,Salary,Active,448079.96,2020-12-05,2025-12-25
321,9039,13,Salary,Closed,132872.01,2021-02-07,
322,808,28,Salary,Active,87432.58,2024-11-03,2025-09-09
323,1196,99,Savings,Closed,376939.15,2022-04-06,2025-05-22
324,2961,93,Salary,Active,112044.29,2024-01-29,2025-02-18
325,6310,72,Savings,Active,268127.05,2022-03-16,2025-03-04
326,1273,51,Current,Closed,207455.06,2021-10-27,
327,7919,21,Savings,Active,267218.95,2023-04-26,2025-03-19
328,2951,64,Salary,Active,395769.91,2025-10-08,2025-05-03
329,11010,24,Savings,Closed,113384.44,2026-04-07,2025-11-26
330,12992,20,Current,Active,124191.7,2025-04-25,2025-11-17
331,8088,33,Savings,Active,407865.89,2020-12-15,2025-11-15
332,11756,85,Savings,Inactive,243591.59,2021-03-28,2025-02-11
333,11786,60,Savings,Inactive,13727.7,2024-02-02,2025-12-24
334,3697,21,Savings,Closed,173180.33,2021-11-28,
335,3816,16,Salary,Closed,15537.97,2026-01-15,2025-10-31
336,6825,46,Current,Active,354764.2,2025-06-17,
337,7689,96,Current,Active,289273.92,2021-12-13,2025-07-18
338,13340,99,Salary,Closed,188394.44,2022-10-19,2025-02-04
339,9273,96,Savings,Active,397457.04,2023-06-24,
340,7439,83,Salary,Inactive,187638.31,2024-03-16,
341,14899,66,Salary,Inactive,309489.99,2021-06-05,2025-12-22
342,2411,15,Salary,Active,224863.57,2024-07-31,2026-02-05
343,13233,28,Savings,Active,21863.87,2022-06-19,2026-01-12
344,1646,72,Savings,Active,387125.49,2023-04-12,2025-05-18
345,12810,34,Salary,Active,448306.76,2026-04-11,2026-03-31
346,443,41,Savings,Closed,217653.12,2021-06-30,2025-05-01
347,6004,18,Current,Inactive,261664.3,2025-03-15,2025-12-10
348,3852,61,Current,Active,160152.34,2026-01-08,2025-11-11
349,549,21,Salary,Closed,11511.66,2022-12-22,2024-12-28
350,6812,23,Savings,Closed,250328.52,2023-02-05,2025-11-11
351,6105,19,Salary,Inactive,276259.82,2022-01-26,2025-04-17
352,10394,41,Salary,Closed,111200.55,2022-12-15,2025-04-21
353,615,48,Current,Inactive,143827.91,2025-01-28,2025-08-01
354,12544,39,Current,Closed,466220.66,2020-11-05,2026-02-21
355,3887,5,Current,Active,69900.52,2025-07-07,2026-02-12
356,4638,52,Savings,Inactive,442918.7,2021-08-10,2025-10-19
357,1548,19,Savings,Inactive,250697.67,2021-03-19,2025-02-10
358,412,4,Current,Closed,122639.92,2022-07-03,2025-07-17
359,13426,75,Current,Closed,268675.88,2023-10-23,2025-02-18
360,1088,88,Savings,Active,169109.7,2025-11-06,
361,10177,16,Salary,Active,37575.57,2025-03-30,2025-03-21
362,7372,43,Current,Inactive,415004.4,2025-04-26,2025-12-10
363,3947,7,Current,Closed,28931.25,2026-03-10,2025-08-21
364,3607,100,Savings,Active,321589.46,2026-01-08,
365,2411,53,Current,Closed,229959.34,2024-06-13,2025-03-05
366,2754,39,Salary,Closed,394074.5,2023-06-26,2024-12-11
367,6404,58,Savings,Active,174030.37,2024-03-09,2025-02-01
368,13535,77,Current,Closed,227260.94,2021-12-07,
369,4924,94,Savings,Closed,286228.27,2021-04-26,
370,73,11,Current,Closed,377859.76,2025-01-24,2025-03-26
371,11413,47,Current,Closed,45231.5,2025-12-09,
372,1557,34,Current,Closed,27260.2,2021-02-09,2025-02-21
373,11744,81,Current,Closed,187435.16,2023-10-25,2025-03-20
374,8555,97,Salary,Closed,66350.22,2023-11-28,2025-12-01
375,1156,66,Current,Closed,337665.24,2025-01-26,2026-04-03
376,13634,22,Savings,Active,103297.76,2024-05-02,
377,14196,4,Current,Active,49887.42,2024-05-06,2025-10-17
378,2871,48,Current,Inactive,334152.96,2020-12-22,
379,5671,54,Current,Active,115087.64,2022-02-05,2025-06-02
380,12865,13,Current,Inactive,153677.43,2021-02-13,2025-04-22
381,6796,95,Current,Active,267771.3,2024-06-30,2026-01-02
382,11060,72,Savings,Inactive,302563.66,2025-02-18,2025-06-15
383,11476,61,Salary,Active,192763.36,2022-09-28,2026-03-09
384,3166,23,Salary,Inactive,212673.07,2022-12-21,2025-04-18
385,13792,20,Current,Active,195719.03,2022-10-13,2025-03-05
386,11952,63,Current,Active,2464.33,2024-08-25,
387,1929,18,Savings,Closed,216619.32,2023-12-31,
388,14179,77,Savings,Inactive,30781.31,2025-10-04,2025-12-08
389,12290,51,Salary,Closed,396859.25,2025-04-24,2025-03-30
390,6779,18,Savings,Inactive,489896.45,2021-10-22,2025-04-18
391,4522,41,Current,Closed,423391.81,2022-11-01,
392,12008,76,Savings,Active,275145.17,2021-08-19,
393,11764,58,Savings,Inactive,60935.71,2024-05-15,2025-04-05
394,5072,17,Current,Active,217314.58,2023-04-02,2025-04-29
395,8046,76,Current,Active,496221.86,2024-07-14,2025-02-06
396,11761,10,Salary,Closed,267826.03,2025-05-11,2025-04-20
397,4036,74,Current,Closed,418056.23,2021-06-20,2025-03-07
398,5555,98,Savings,Inactive,401150.97,2021-01-25,2026-03-31
399,5426,78,Salary,Closed,111115.52,2021-11-08,2026-01-13
400,9271,91,Savings,Inactive,328915.48,2025-11-04,
401,6402,29,Current,Active,347595.71,2022-12-01,2025-08-29
402,3342,6,Current,Inactive,72214.76,2024-07-28,2025-12-23
403,916,9,Current,Active,16680.86,2025-03-08,
404,11069,20,Current,Closed,165278.62,2025-08-28,2025-05-15
405,3021,17,Current,Active,344211.05,2022-07-04,2026-04-02
406,6943,86,Salary,Active,361951.3,2024-03-01,2025-03-11
407,8986,48,Savings,Closed,247095.68,2022-01-03,2025-07-13
408,5730,66,Savings,Inactive,130815.18,2021-07-05,2025-12-08
409,10475,6,Current,Active,233517.96,2025-06-24,2024-12-23
410,11384,85,Salary,Inactive,457943.02,2023-10-29,2025-04-25
411,7848,80,Current,Active,189483.49,2022-12-25,2025-04-29
412,3869,79,Savings,Active,327098.73,2026-03-13,
413,6401,17,Salary,Closed,8591.61,2021-02-12,
414,2056,37,Salary,Closed,159263.66,2021-08-28,2025-11-19
415,1170,36,Savings,Inactive,191083.46,2023-09-08,2024-12-18
416,9145,73,Salary,Inactive,309371.84,2023-09-11,
417,2194,81,Savings,Inactive,149921.16,2023-06-16,2025-09-12
418,6068,86,Savings,Closed,25202.55,2026-03-25,2025-09-10
419,11553,45,Current,Active,224142.18,2025-10-08,
420,7909,25,Salary,Closed,488940.11,2024-07-25,2026-01-14
421,14372,95,Salary,Active,107027.9,2025-07-16,
422,8246,11,Salary,Inactive,411244.92,2024-11-14,
423,13878,95,Savings,Inactive,211663.11,2021-01-02,2025-03-31
424,4382,6,Salary,Closed,477246.5,2023-08-19,2025-10-15
425,2519,73,Current,Closed,140802.72,2025-07-03,2026-03-21
426,2211,54,Salary,Inactive,40493.38,2022-09-06,2025-07-02
427,6906,74,Salary,Inactive,141706.68,2023-07-05,2025-08-20
428,4867,65,Current,Inactive,83241.61,2025-03-18,2025-04-27
429,679,93,Salary,Active,349093.07,2021-08-06,
430,9176,91,Savings,Inactive,440838.21,2023-07-27,2026-04-04
431,6943,84,Savings,Closed,32871.62,2024-07-02,2025-01-26
432,9518,36,Current,Closed,463002.06,2024-09-27,2026-04-17
